a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Contabilidad 
,,,,,,,,,,,,,,EGUESIBARko UDALA 
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2017,,,,,,,,ESTADO DE EJECUCIÓN GASTOS POR CAPÍTULOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Presupuesto,2017,Fecha :,31/12/2017,,Desde Capítulo,0,Hasta Capítulo,9,,Saldo,Precontable
,,,,,,,,,,,,,,
,,Partida,Descripción,,,,Previsiones ,Previsiones ,Autorización,Disposición,Obligaciones ,,Pagos,Cto.Disponible
,,,,,,,Iniciales ,Definitivas ,,,Reconocidas ,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,11000,RETRIB. BASICAS JEFE POLICIA,,,57400.0,57400.0,57376.62,57376.62,57376.62,,57376.62,23.38
1,,13210,12002,RETRIBUCIONES BASICAS POLICIA NIVEL B,,,21500.0,21500.0,21696.22,21696.22,21696.22,,21696.22,-196.22
1,,13210,12003,RETRIB.BASICAS PERSONAL POLICIA,,,340000.0,340000.0,303881.55,303881.55,303881.55,,303881.55,36118.45
1,,13210,12004,RETRIB. BASICAS AUXILIARES POLICIA,,,50000.0,50000.0,44225.48,44225.48,44225.48,,44225.48,5774.52
1,,13210,12006,ANTIGÜEDAD PERSONAL POLICIA,,,14000.0,14000.0,12621.58,12621.58,12621.58,,12621.58,1378.42
1,,13210,12007,RETRIBUCION GRADO PERSONAL POLICIA,,,59000.0,59000.0,58386.56,58386.56,58386.56,,58386.56,613.44
1,,13210,12103,RETRIB.COMPLEMENTARIAS PERSONAL POLICIA,,,350000.0,350000.0,329788.84,329788.84,329788.84,,328306.57,20211.16
1,,13210,16000,SEGURIDAD SOCIAL PERSONAL POLICIA Y AUXI,,,230000.0,230000.0,230000.0,230000.0,200596.73,,186652.34,0.0
1,,13210,16200,FORMACION AGENTES DE POLICIA,,,2000.0,2000.0,1771.19,1771.19,1771.19,,750.0,228.81
1,,13210,16400,AYUDA FAMILIAR AGENTES POLICIA Y AUXILIA,,,11800.0,11800.0,10891.64,10891.64,10891.64,,10891.64,908.36
1,,15100,12000,RETRIB. BASICAS PERSONAL ARQUITECTURA UR,,,51500.0,51500.0,51579.92,51579.92,51579.92,,51579.92,-79.92
1,,15100,12002,RETRIB.BASICAS APAREJADOR URBANISMO,,,21500.0,21500.0,21696.22,21696.22,21696.22,,21696.22,-196.22
1,,15100,12003,RETRIB. BASICAS OFICIAL ADMITVIO URBANIS,,,18000.0,18000.0,17997.84,17997.84,17997.84,,17997.39,2.16
1,,15100,12006,ANTIGÜEDAD PERSONAL URBANISMO,,,3500.0,3500.0,3574.46,3574.46,3574.46,,3574.46,-74.46
