a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Contabilidad
,,,,,,,,,,,,,,EGUESIBARko UDALA
,,,,,,,AYUNTAMIENTO DEL VALLE DE EGÜES,,,,,,,
,,,,,,,,,,,,,,Kontabilitatea
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2019,,,,,,,,ESTADO DE EJECUCIÓN GASTOS POR CAPÍTULOS,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Criterios de selección :,,,Presupuesto,2019,Fecha :,31/03/2019,,Desde Capítulo,0,Hasta Capítulo,9,Saldo,Contable,
,,,,,,,,,,,,,,
,,Partida,Descripción,,,Previsiones ,,Previsiones ,Autorización,Disposición,Obligaciones ,Pagos,Cto.Disponible,
,,,,,,Iniciales ,,Definitivas ,,,Reconocidas ,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,11000,RETRIB. BASICAS JEFE POLICIA,,,57400,57400,12294.99,12294.99,12294.99,,12294.99,45105.01
1,,13210,12002,RETRIBUCIONES BASICAS POLICIA NIVEL B,,,22700,22700,4836.99,4836.99,4836.99,,4836.99,17863.01
1,,13210,12003,RETRIB.BASICAS PERSONAL POLICIA,,,380000,380000,74773.33,74773.33,74773.33,,74773.33,305226.67
1,,13210,12006,ANTIGÜEDAD PERSONAL POLICIA,,,14000,14000,2898.9,2898.9,2898.9,,2898.9,11101.1
1,,13210,12007,RETRIBUCION GRADO PERSONAL POLICIA,,,60000,60000,12045.38,12045.38,12045.38,,12045.38,47954.62
1,,13210,12009,HORAS EXTRA POLICIA,,,0,0,4016.25,4016.25,4016.25,,4016.25,-4016.25
1,,13210,12103,RETRIB.COMPLEMENTARIAS PERSONAL POLICIA,,,360000,360000,76791.83,76791.83,76791.83,,76782.89,283208.17
1,,13210,16000,SEGURIDAD SOCIAL PERSONAL POLICIA,,,210000,210000,210000,210000,24531.21,,24531.21,0
1,,13210,16200,FORMACION AGENTES DE POLICIA,,,2000,2000,2549.86,2549.86,2549.86,,2549.86,-549.86
1,,13210,16400,AYUDA FAMILIAR AGENTES POLICIA,,,12000,12000,2203.34,2203.34,2203.34,,2203.34,9796.66
1,,15100,12000,RETRIB. BASICAS PERSONAL ARQUITECTURA UR,,,53900,53900,11499.3,11499.3,11499.3,,11499.3,42400.7
1,,15100,12002,RETRIB.BASICAS APAREJADOR URBANISMO,,,22700,22700,4822.48,4822.48,4822.48,,4822.48,17877.52
1,,15100,12003,RETRIB. BASICAS OFICIAL ADMITVIO URBANIS,,,18800,18800,4012.47,4012.47,4012.47,,4012.47,14787.53
1,,15100,12006,ANTIGÜEDAD PERSONAL URBANISMO,,,3800,3800,798.53,798.53,798.53,,798.53,3001.47
1,,15100,12007,RETRIBUCION GRADO PERSONAL URBANISMO,,,20200,20200,4298.98,4298.98,4298.98,,4298.98,15901.02
