#N. Registro,Fecha Reg.,Tipo,Tercero,Importe,IVA,Descripción
2017000921.0,2017-01-24,ADO1,NAVENDI  ,23.35,0.0,1 CUBASQUERO+1 PANTALON LLUVIA XXL PM
2017000922.0,2017-01-05,ADO1,ILUNA PRODUCCIONES  ,2200.0,0.0,"ACTUACION INFANTIL ""LAS AVENTURAS DE ANA MONTAÑA"" 4 ENERO                                                               "
2017000923.0,2017-01-16,ADO1,LA MANDUCA DE GORRAIZ  ,213.93,0.0,170 HUEVOS CESTA BASICA
2017000924.0,2017-01-04,ADO1,CANON COPIADORAS DE NAVARRA S.L.  ,482.37,0.0,4 CARTUCHOS COLOR IMPRESORA CAF
2017000925.0,2017-01-23,ADO1,REVISIONES DE NAVARRA S.A.  ,37.05,0.0,ITV CAMIONETA FORD TRANSIT SM
2017000926.0,2017-01-23,ADO1,"DINAFAX, S.L.  ",73.7,0.0,6.768 COPIAS BN IMPRESORA PLANTA 1 (FIN 406560) 20-12 A 19/01
2017000927.0,2017-01-12,ADO1,POTSELUYEVA VOLOSOK INNA,501.6,0.0,400 CONOS CHUCHES CABALGATA REYES
2017000928.0,2017-01-18,ADO1,"SERVICIOS NAVARRA DE MANTENIMIENTO, S.L (SERNAMAN) ",102.83,0.0,CAMBIAR GUARDAMOTOR CLIMATIZADOR GIMNASIO CP URIZ
2017000929.0,2017-01-19,ADO1,DISNAVAL S.L.  ,166.98,0.0,30 LT PINTURA ANTIMOHO PAREDES GUARDERIA III
2017000930.0,2017-01-19,ADO1,IRIGUIBEL DISTRIBUCIONES S.L.  ,66.85,0.0,30 PAQ BOLSAS NEGRAS+DETERGENTE SM
2017000931.0,2017-01-16,ADO1,REVISIONES DE NAVARRA S.A.  ,74.11,0.0,ITV MITSUBISHI Y PORTAVEHICULOS JARDINES
2017000932.0,2017-01-10,ADO1,ESPECTACULOS TIC TAK S.L.  ,1676.15,0.0,ACTUACION GRUPO ANIMACION AUSKALO+ANIMACION MUÑECOS CABALGATA
2017000933.0,2017-01-16,ADO1,UNZUE E HIJOS S.L.  ,14.74,0.0,CADENA MOTOSIERRA
2017000934.0,2017-01-11,ADO1,TALLERES CR  ,1432.64,0.0,REPARAR CAJA CAMBIOS MITSUBISHI SM
2017000935.0,2017-01-17,ADO1,EXTINIRUÑA S.L.  ,65.23,0.0,3 RECARGAS EXTINTORES COCHES POLICIA GASTADOS EN INCENDIO PISO
2017000936.0,2017-01-27,ADO1,GOLOSINAS SAGASTI S.L.  ,87.98,0.0,CARAMELOS SURTIDOS CABALGATA
2017000937.0,2017-01-16,ADO1,HISPANOFIL  ,211.9,0.0,4 TIRAS LUZ  LED CARROZAS CABALGATA
2017000938.0,2017-01-20,ADO1,BELLOCH FORESTAL  ,3001.94,0.0,PLANTAS JARDINES Y TRANSPORTE DESDE BARCELONA
2017001111.0,2017-01-30,O1,PAUMA SL  ,35067.91,0.0,GESTION SERVICIO CAF ENERO
2017001112.0,2017-01-24,O1,URBASER SA  ,8141.61,0.0,MANTENIMIENTO ZONAS VERDES DICIEMBRE
2017001113.0,2017-01-20,ADO1,HUARTE GRAFICA S.A.L.  ,94.38,0.0,100 CARTELES MONOLITO A3 COLOR 1 CARA
2017001114.0,2017-01-25,ADO1,VIALINE GESTION SL  ,8129.0,0.0,COBROS GESTION SANCIONES DICIEMBRE
2017001115.0,2017-01-25,ADO1,VIALINE GESTION SL  ,783.05,0.0,GESTION SANCIONES EJECUTIVA DICIEMBRE
